group,case,burst,phase,samples,curl_live_sample_max,tls_live_sample_max,app_bytes_sample_max,scratch_bytes_sample_max,physical_sample_max,rss_sample_max,fds_sample_max,curl_peak_cumulative,tls_peak_cumulative,max_physical_cumulative,max_rss_cumulative
research/transport-memory/adjustment-unknown-results,h2-unknown-baseline-late,0,transfer_start,1,3397744,103552,318400,1024000,6620160,11108352,2008,3397744,103552,6620160,11108352
research/transport-memory/adjustment-unknown-results,h2-unknown-baseline-late,0,active,48,127446427,673471,318400,377616409,120325696,219856896,2009,135807601,710454,129894016,219856896
research/transport-memory/adjustment-unknown-results,h2-unknown-baseline-late,0,capture_complete,1,10612442,673471,318400,393216000,73565824,222461952,1009,135807601,710454,129894016,222461952
research/transport-memory/adjustment-unknown-results,h2-unknown-baseline-late,0,validation_delayed,1,10612442,673471,318400,393216000,73549440,222445568,1009,135807601,710454,129894016,222461952
research/transport-memory/adjustment-unknown-results,h2-unknown-baseline-late,0,captures_released,1,10612442,673471,0,0,73549440,222445568,9,135807601,710454,129894016,222461952
research/transport-memory/adjustment-unknown-results,h2-unknown-baseline-late,0,serviced_idle,1,10612442,673471,0,0,73549440,222445568,9,135807601,710454,129894016,222461952
research/transport-memory/adjustment-unknown-results,h2-unknown-baseline-late,0,multi_released,1,0,537905,0,0,57607808,209387520,4,135807601,710454,129894016,222461952
research/transport-memory/adjustment-unknown-results,h2-unknown-baseline-late,0,cleaned,1,0,0,0,0,57411136,201359360,4,135807601,710454,129894016,222461952
research/transport-memory/adjustment-unknown-results,h2-unknown-baseline-late,0,retained_idle,1,0,0,0,0,57411136,201359360,3,135807601,710454,129894016,222461952
research/transport-memory/adjustment-unknown-results,h2-unknown-rate32k-late,-1,cold,1,0,0,0,0,1458752,2768896,4,0,0,1524288,2768896
research/transport-memory/adjustment-unknown-results,h2-unknown-rate32k-late,0,burst_start,1,9792,103552,0,0,2376512,6914048,8,9792,103552,2392896,6914048
research/transport-memory/adjustment-unknown-results,h2-unknown-rate32k-late,0,transfer_start,1,3397744,103552,318400,1024000,6669248,11173888,2008,3397744,103552,6669248,11173888
research/transport-memory/adjustment-unknown-results,h2-unknown-rate32k-late,0,active,141,56735372,673471,318400,392766464,82986368,130613248,2009,62063066,710454,93980096,130613248
research/transport-memory/adjustment-unknown-results,h2-unknown-rate32k-late,0,capture_complete,1,10612442,673471,318400,393216000,58394176,130596864,1009,62063066,710454,93980096,130613248
research/transport-memory/adjustment-unknown-results,h2-unknown-rate32k-late,0,validation_delayed,1,10612442,673471,318400,393216000,58394176,130596864,1009,62063066,710454,93980096,130613248
research/transport-memory/adjustment-unknown-results,h2-unknown-rate32k-late,0,captures_released,1,10612442,673471,0,0,58394176,130596864,9,62063066,710454,93980096,130613248
research/transport-memory/adjustment-unknown-results,h2-unknown-rate32k-late,0,serviced_idle,1,10612442,673471,0,0,58394176,130596864,9,62063066,710454,93980096,130613248
research/transport-memory/adjustment-unknown-results,h2-unknown-rate32k-late,0,multi_released,1,0,537905,0,0,37275200,122224640,4,62063066,710454,93980096,130613248
research/transport-memory/adjustment-unknown-results,h2-unknown-rate32k-late,0,cleaned,1,0,0,0,0,36701760,122241024,4,62063066,710454,93980096,130613248
research/transport-memory/adjustment-unknown-results,h2-unknown-rate32k-late,0,retained_idle,1,0,0,0,0,36701760,122241024,3,62063066,710454,93980096,130613248
research/transport-memory/adjustment-unknown-results,h2-unknown-rate128k-late,-1,cold,1,0,0,0,0,1458752,2768896,4,0,0,1524288,2768896
research/transport-memory/adjustment-unknown-results,h2-unknown-rate128k-late,0,burst_start,1,9792,103552,0,0,2278144,6832128,8,9792,103552,2294528,6832128
research/transport-memory/adjustment-unknown-results,h2-unknown-rate128k-late,0,transfer_start,1,3397744,103552,318400,1024000,6652864,11157504,2008,3397744,103552,6652864,11157504
research/transport-memory/adjustment-unknown-results,h2-unknown-rate128k-late,0,active,54,80582526,673471,318400,390752254,108971328,167804928,2009,83564074,710454,108971328,167804928
research/transport-memory/adjustment-unknown-results,h2-unknown-rate128k-late,0,capture_complete,1,10612425,673471,318400,393216000,56067520,167772160,1009,83564074,710454,108971328,167804928
research/transport-memory/adjustment-unknown-results,h2-unknown-rate128k-late,0,validation_delayed,1,10612425,673471,318400,393216000,56067520,167772160,1009,83564074,710454,108971328,167804928
research/transport-memory/adjustment-unknown-results,h2-unknown-rate128k-late,0,captures_released,1,10612425,673471,0,0,55657920,167772160,9,83564074,710454,108971328,167804928
research/transport-memory/adjustment-unknown-results,h2-unknown-rate128k-late,0,serviced_idle,1,10612425,673471,0,0,55657920,167772160,9,83564074,710454,108971328,167804928
research/transport-memory/adjustment-unknown-results,h2-unknown-rate128k-late,0,multi_released,1,0,537905,0,0,34194880,151011328,4,83564074,710454,108971328,167804928
research/transport-memory/adjustment-unknown-results,h2-unknown-rate128k-late,0,cleaned,1,0,0,0,0,34080192,142639104,4,83564074,710454,108971328,167804928
research/transport-memory/adjustment-unknown-results,h2-unknown-rate128k-late,0,retained_idle,1,0,0,0,0,34080192,142639104,3,83564074,710454,108971328,167804928
research/transport-memory/adjustment-unknown-results,h2-unknown-split10-late,-1,cold,1,0,0,0,0,1458752,2768896,4,0,0,1524288,2768896
research/transport-memory/adjustment-unknown-results,h2-unknown-split10-late,0,burst_start,1,9792,103552,0,0,2392896,6930432,8,9792,103552,2409280,6930432
research/transport-memory/adjustment-unknown-results,h2-unknown-split10-late,0,transfer_start,1,3397744,103552,318400,1024000,6603712,11108352,2008,3397744,103552,6603712,11108352
research/transport-memory/adjustment-unknown-results,h2-unknown-split10-late,0,active,45,98257980,1877671,318400,324679428,126371264,222134272,2018,109764274,1912280,130434496,222134272
research/transport-memory/adjustment-unknown-results,h2-unknown-split10-late,0,capture_complete,1,6722131,1877671,318400,393216000,62506560,207470592,1018,109764274,1912280,130434496,222134272
research/transport-memory/adjustment-unknown-results,h2-unknown-split10-late,0,validation_delayed,1,6722131,1877671,318400,393216000,62490176,207454208,1018,109764274,1912280,130434496,222134272
research/transport-memory/adjustment-unknown-results,h2-unknown-split10-late,0,captures_released,1,6722131,1877671,0,0,62490176,207454208,18,109764274,1912280,130434496,222134272
research/transport-memory/adjustment-unknown-results,h2-unknown-split10-late,0,serviced_idle,1,6722131,1877671,0,0,62490176,207454208,18,109764274,1912280,130434496,222134272
research/transport-memory/adjustment-unknown-results,h2-unknown-split10-late,0,multi_released,1,0,538049,0,0,51447360,203259904,4,109764274,1912280,130434496,222134272
research/transport-memory/adjustment-unknown-results,h2-unknown-split10-late,0,cleaned,1,0,0,0,0,48662080,203472896,4,109764274,1912280,130434496,222134272
research/transport-memory/adjustment-unknown-results,h2-unknown-split10-late,0,retained_idle,1,0,0,0,0,48662080,203472896,3,109764274,1912280,130434496,222134272
research/transport-memory/adjustment-unknown-results,h2-unknown-aligned100-late,-1,cold,1,0,0,0,0,1458752,2768896,4,0,0,1524288,2768896
research/transport-memory/adjustment-unknown-results,h2-unknown-aligned100-late,0,burst_start,1,9792,103552,0,0,2392896,6930432,8,9792,103552,2392896,6930432
research/transport-memory/adjustment-unknown-results,h2-unknown-aligned100-late,0,transfer_start,1,3397744,103552,318400,1024000,6734848,11223040,2008,3397744,103552,6734848,11223040
research/transport-memory/adjustment-unknown-results,h2-unknown-aligned100-late,0,active,45,146423758,1877527,318400,317550219,218449472,230293504,2018,153292133,1912120,226281024,230293504
research/transport-memory/adjustment-unknown-results,h2-unknown-aligned100-late,0,capture_complete,1,6722131,1877527,318400,393216000,76990016,230572032,1018,153292133,1912120,226281024,230572032
research/transport-memory/adjustment-unknown-results,h2-unknown-aligned100-late,0,validation_delayed,1,6722131,1877527,318400,393216000,76990016,230572032,1018,153292133,1912120,226281024,230572032
research/transport-memory/adjustment-unknown-results,h2-unknown-aligned100-late,0,captures_released,1,6722131,1877527,0,0,74450496,230555648,18,153292133,1912120,226281024,230572032
research/transport-memory/adjustment-unknown-results,h2-unknown-aligned100-late,0,serviced_idle,1,6722131,1877527,0,0,74450496,230555648,18,153292133,1912120,226281024,230572032
research/transport-memory/adjustment-unknown-results,h2-unknown-aligned100-late,0,multi_released,1,0,538049,0,0,62965312,236568576,4,153292133,1912120,226281024,236568576
research/transport-memory/adjustment-unknown-results,h2-unknown-aligned100-late,0,cleaned,1,0,0,0,0,62801472,236781568,4,153292133,1912120,226281024,236781568
research/transport-memory/adjustment-unknown-results,h2-unknown-aligned100-late,0,retained_idle,1,0,0,0,0,62801472,236781568,3,153292133,1912120,226281024,236781568
research/transport-memory/adjustment-unknown-results,h2-long-baseline-late,-1,cold,1,0,0,0,0,1458752,2768896,4,0,0,1524288,2768896
research/transport-memory/adjustment-unknown-results,h2-long-baseline-late,0,burst_start,1,9792,103552,0,0,2228992,6782976,8,9792,103552,2245376,6782976
research/transport-memory/adjustment-unknown-results,h2-long-baseline-late,0,transfer_start,1,3397744,103552,318400,1024000,6603712,11108352,2008,3397744,103552,6603712,11108352
research/transport-memory/adjustment-unknown-results,h2-long-baseline-late,0,active,64,192289936,673471,318400,1514439186,198051584,342130688,2009,195531170,710446,200148736,342130688
research/transport-memory/adjustment-unknown-results,h2-long-baseline-late,0,capture_complete,1,10612425,673471,318400,1572864000,77383424,348110848,1009,195531170,710446,200148736,348110848
research/transport-memory/adjustment-unknown-results,h2-long-baseline-late,0,validation_delayed,1,10612425,673471,318400,1572864000,77399808,345702400,1009,195531170,710446,200148736,348110848
research/transport-memory/adjustment-unknown-results,h2-long-baseline-late,0,captures_released,1,10612425,673471,0,0,75974400,339968000,9,195531170,710446,200148736,348110848
research/transport-memory/adjustment-unknown-results,h2-long-baseline-late,0,serviced_idle,1,10612425,673471,0,0,75974400,339968000,9,195531170,710446,200148736,348110848
research/transport-memory/adjustment-unknown-results,h2-long-baseline-late,0,multi_released,1,0,537905,0,0,57509632,346882048,4,195531170,710446,200148736,348110848
research/transport-memory/adjustment-unknown-results,h2-long-baseline-late,0,cleaned,1,0,0,0,0,57149184,347226112,4,195531170,710446,200148736,348110848
